id,smarts,entry_id,mechanism_id
221,[C&D2&v4&H2&0*&!R&z1:1]-[O&D2&v2&H0&0*&!R:2]-[P&D4&v5&H0&0*&!R:3].[O&D0&v2&H2&0*&!R:4]>>[C&D2&v4&H2&0*&!R&z1:1]-[O&D1&v2&H1&0*&!R:4].[P&D4&v5&H0&0*&!R:3]-[O&D1&v2&H1&0*&!R:2],[472],[2]
222,[*:1](~[O&D1&v2&H1&0*&!R:2])~[O&D1&v2&H1&0*&!R:3].[C&D2&v4&H2&0*&!R&z1:4]-[O&D1&v2&H1&0*&!R:5]>>[C&D2&v4&H2&0*&!R&z1:4]-[O&D2&v2&H0&0*&!R:2]~[*:1]~[O&D1&v2&H1&0*&!R:3].[O&D0&v2&H2&0*&!R:5],[472],[2]
223,[O&D2&v2&H0&0*&R:1]-[C&D3&v4&H1&0*&R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[C&D3&v4&H1&0*&R&z1:4](-[O&D1&v2&H1&0*&!R:5])~[*:6]~[O&D1&v2&H1&0*&!R:7]>>([*:6](~[O&D1&v2&H1&0*&!R:7])~[C&D3&v4&H0&0*&!R&z1:4](=[O&D1&v2&H0&0*&!R:5])-[C&D2&v4&H2&0*&!R&z1:2]-[O&D1&v2&H1&0*&!R:3].[O&D1&v2&H1&0*&!R:1]),"[488, 488]","[1, 2]"
224,([*:1](~[O&D1&v2&H1&0*&!R:2])~[C&D3&v4&H0&0*&!R&z1:3](=[O&D1&v2&H0&0*&!R:4])-[C&D2&v4&H2&0*&!R&z1:5].[O&D1&v2&H1&0*&!R:6])>>[O&D2&v2&H0&0*&R:6]-[C&D3&v4&H1&0*&R&z2:5]-[C&D3&v4&H1&0*&R&z1:3](-[O&D1&v2&H1&0*&!R:4])~[*:1]~[O&D1&v2&H1&0*&!R:2],"[488, 488]","[1, 2]"
225,[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[C&D3&v4&H1&0*&!R&z1:4](-[O&D1&v2&H1&0*&!R:5])-[C&D3&v4&H1&0*&!R&z1:6](-[O&D1&v2&H1&0*&!R:7])~[*:8]~[*:9]~[*:10](~[O&D1&v2&H0&0*&!R:11])~[O&D1&v2&H1&0*&!R:12]>>[O&D0&v2&H2&0*&!R:7].[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[C&D3&v4&H0&0*&!R&z1:4](=[O&D1&v2&H0&0*&!R:5])-[C&D2&v4&H2&0*&!R&z0:6]~[*:8]~[*:9]~[*:10](~[O&D1&v2&H0&0*&!R:11])~[O&D1&v2&H1&0*&!R:12],[502],[1]
226,[C&D3&v4&H0&0*&!R&z3:1](-[O&D1&v2&H1&0*&!R:2])-[O&D1&v2&H1&0*&!R:3]>>[O&D0&v2&H2&0*&!R:3].[O&D1&v2&H0&0*&!R:2]=[C&D2&v4&H0&0*&!R&z2:1],[517],[1]
227,[O&D0&v2&H2&0*&!R:1].[S&D2&v2&H0&0*&!R:2]-[C&D3&v4&H0&0*&!R&z2:3]=[O&D1&v2&H0&0*&!R:4]>>[C&D3&v4&H0&0*&!R&z2:3](=[O&D1&v2&H0&0*&!R:4])-[O&D1&v2&H1&0*&!R:1].[S&D1&v2&H1&0*&!R:2],[523],[1]
228,[C&D3&v4&H0&0*&!R&z2:1]-[S&D2&v2&H0&0*&!R:2].[N&D1&v3&H2&0*&!R:3]>>[N&D2&v3&H1&0*&!R:3]-[C&D3&v4&H0&0*&!R&z2:1].[S&D1&v2&H1&0*&!R:2],[525],[1]
229,[N&D2&v3&H1&0*&!R:1]-[C&D3&v4&H0&0*&!R&z2:2].[S&D1&v2&H1&0*&!R:3]>>[C&D3&v4&H0&0*&!R&z2:2]-[S&D2&v2&H0&0*&!R:3].[N&D1&v3&H2&0*&!R:1],[525],[1]
230,[C&D3&v4&H1&0*&!R&z1:1]-[O&D1&v2&H1&0*&!R:2].[c&D3&v4&H0&0*&R&z0:3]1:[c&D2&v4&H1&0*&R&z0:4]:[c&D2&v4&H1&0*&R&z0:5]:[c&D2&v4&H1&0*&R&z1:6]:[n&D3&v4&H0&+&R:7]:[c&D2&v4&H1&0*&R&z1:8]:1>>[C&D3&v4&H0&0*&!R&z1:1]=[O&D1&v2&H0&0*&!R:2].[C&D3&v4&H0&0*&R&z0:3]1=[C&D2&v4&H1&0*&R&z1:8]-[N&D3&v3&H0&0*&R:7]-[C&D2&v4&H1&0*&R&z1:6]=[C&D2&v4&H1&0*&R&z0:5]-[C&D2&v4&H2&0*&R&z0:4]-1,"[526, 527, 576, 584, 785]","[1, 1, 1, 1, 1]"
231,[C&D3&v4&H0&0*&!R&z2:1]-[O&D1&v2&H1&0*&!R:2].[S&D2&v2&H0&0*&!R:3]-[C&D3&v4&H0&0*&!R&z2:4]>>[C&D3&v4&H0&0*&!R&z2:4]-[O&D1&v2&H1&0*&!R:2].[S&D2&v2&H0&0*&!R:3]-[C&D3&v4&H0&0*&!R&z2:1],[531],[1]
232,[O&D0&v2&H2&0*&!R:1].[P&D4&v5&H0&0*&!R:2](-[O&D1&v2&H1&0*&!R:3])-[O&D2&v2&H0&0*&!R:4]-[P&D4&v5&H0&0*&!R:5](-[O&D1&v2&H1&0*&!R:6])-[O&D1&v2&H1&0*&!R:7]>>[P&D4&v5&H0&0*&!R:5](-[O&D1&v2&H1&0*&!R:4])(-[O&D1&v2&H1&0*&!R:6])-[O&D1&v2&H1&0*&!R:7].[P&D4&v5&H0&0*&!R:2](-[O&D1&v2&H1&0*&!R:1])-[O&D1&v2&H1&0*&!R:3],[533],[1]
233,[O&D1&v2&H1&0*&!R:1].[P&D4&v5&H0&0*&!R:2](-[O&D1&v2&H1&0*&!R:3])-[O&D1&v2&H1&0*&!R:4]>>[O&D0&v2&H2&0*&!R:3].[O&D2&v2&H0&0*&!R:1]-[P&D4&v5&H0&0*&!R:2]-[O&D1&v2&H1&0*&!R:4],[533],[1]
234,[O&D0&v2&H2&0*&!R:1].[P&D4&v5&H0&0*&!R:2](=[O&D1&v2&H0&0*&!R:3])-[O&D2&v2&H0&0*&!R:4]-[P&D4&v5&H0&0*&!R:5](=[O&D1&v2&H0&0*&!R:6])-[O&D1&v2&H1&0*&!R:7]>>[O&D1&v2&H0&0*&!R:6]=[P&D4&v5&H0&0*&!R:5](-[O&D1&v2&H1&0*&!R:4])-[O&D1&v2&H1&0*&!R:7].[P&D4&v5&H0&0*&!R:2](=[O&D1&v2&H0&0*&!R:3])-[O&D1&v2&H1&0*&!R:1],"[534, 534, 534, 534, 534]","[5, 4, 3, 2, 6]"
235,[*:1](~[O&D1&v2&H0&0*&!R:2])~[O&D1&v2&H1&0*&!R:3].[O&D1&v2&H0&0*&!R:4]=[P&D4&v5&H0&0*&!R:5]-[O&D1&v2&H1&0*&!R:6]>>[*:1](~[O&D1&v2&H0&0*&!R:2])~[O&D2&v2&H0&0*&!R:3]-[P&D4&v5&H0&0*&!R:5]=[O&D1&v2&H0&0*&!R:4].[O&D0&v2&H2&0*&!R:6],"[534, 534, 534, 534, 534]","[5, 4, 3, 2, 6]"
236,[O&D0&v2&H2&0*&!R:1].[P&D4&v5&H0&0*&!R:2](-[O&D1&v2&H1&0*&!R:3])-[O&D2&v2&H0&0*&!R:4]-[P&D4&v5&H0&0*&!R:5](=[O&D1&v2&H0&0*&!R:6])-[O&D1&v2&H1&0*&!R:7]>>[O&D1&v2&H0&0*&!R:6]=[P&D4&v5&H0&0*&!R:5](-[O&D1&v2&H1&0*&!R:4])-[O&D1&v2&H1&0*&!R:7].[P&D4&v5&H0&0*&!R:2](-[O&D1&v2&H1&0*&!R:1])-[O&D1&v2&H1&0*&!R:3],[535],[1]
237,[C&D3&v4&H0&0*&!R&z2:1]-[O&D1&v2&H1&0*&!R:2].[N&D0&v3&H3&0*&!R:3].[P&D4&v5&H0&0*&!R:4](-[O&D1&v2&H1&0*&!R:5])-[O&D2&v2&H0&0*&!R:6]-[P&D4&v5&H0&0*&!R:7](=[O&D1&v2&H0&0*&!R:8])(-[O&D1&v2&H1&0*&!R:9])-[O&D1&v2&H1&0*&!R:10]>>[N&D1&v3&H2&0*&!R:3]-[C&D3&v4&H0&0*&!R&z2:1].[O&D1&v2&H0&0*&!R:8]=[P&D4&v5&H0&0*&!R:7](-[O&D1&v2&H1&0*&!R:6])(-[O&D1&v2&H1&0*&!R:9])-[O&D1&v2&H1&0*&!R:10].[P&D4&v5&H0&0*&!R:4](-[O&D1&v2&H1&0*&!R:2])-[O&D1&v2&H1&0*&!R:5],[537],[1]
238,[N&D1&v3&H2&0*&!R:1].[O&D1&v2&H0&0*&!R:2]=[C&D3&v4&H0&0*&!R&z2:3]-[O&D1&v2&H1&0*&!R:4].[P&D4&v5&H0&0*&!R:5]-[O&D2&v2&H0&0*&!R:6]>>[N&D2&v3&H1&0*&!R:1]-[C&D3&v4&H0&0*&!R&z2:3]=[O&D1&v2&H0&0*&!R:2].[O&D1&v2&H1&0*&!R:6].[P&D4&v5&H0&0*&!R:5]-[O&D1&v2&H1&0*&!R:4],[538],[1]
239,[*:1](~[O&D1&v2&H1&0*&!R:2])~[*:3](~[N&D1&v3&H2&0*&!R:4])~[C&D3&v4&H0&0*&!R&z2:5]-[O&D1&v2&H1&0*&!R:6].[C&D3&v4&H1&0*&R&z1:7]-[O&D1&v2&H1&0*&!R:8].[P&D4&v5&H0&0*&!R:9]-[O&D2&v2&H0&0*&!R:10]>>[C&D3&v4&H1&0*&R&z1:7]-[O&D2&v2&H0&0*&!R:6]-[C&D3&v4&H0&0*&!R&z2:5]~[*:3](~[N&D1&v3&H2&0*&!R:4])~[*:1]~[O&D1&v2&H1&0*&!R:2].[O&D1&v2&H1&0*&!R:10].[P&D4&v5&H0&0*&!R:9]-[O&D1&v2&H1&0*&!R:8],[540],[1]
240,[C&D2&v4&H2&0*&!R&z1:1]-[O&D2&v2&H0&0*&!R:2]-[P&D4&v5&H0&0*&!R:3](=[O&D1&v2&H0&0*&!R:4])-[O&D1&v2&H1&0*&!R:5].[O&D0&v2&H2&0*&!R:6]>>[C&D2&v4&H2&0*&!R&z1:1]-[O&D1&v2&H1&0*&!R:6].[O&D1&v2&H0&0*&!R:4]=[P&D4&v5&H0&0*&!R:3](-[O&D1&v2&H1&0*&!R:2])-[O&D1&v2&H1&0*&!R:5],"[546, 546]","[1, 2]"
241,[C&D2&v4&H2&0*&!R&z1:1]-[O&D1&v2&H1&0*&!R:2].[O&D1&v2&H0&0*&!R:3]~[*:4](~[O&D1&v2&H1&0*&!R:5])~[O&D1&v2&H1&0*&!R:6]>>[C&D2&v4&H2&0*&!R&z1:1]-[O&D2&v2&H0&0*&!R:5]~[*:4](~[O&D1&v2&H0&0*&!R:3])~[O&D1&v2&H1&0*&!R:6].[O&D0&v2&H2&0*&!R:2],"[546, 546]","[1, 2]"
242,[C&D3&v4&H1&0*&R&z2:1]-[O&D2&v2&H0&0*&!R:2]-[C&D3&v4&H1&0*&R&z1:3].[O&D0&v2&H2&0*&!R:4]>>[C&D3&v4&H1&0*&R&z2:1]-[O&D1&v2&H1&0*&!R:4].[O&D1&v2&H1&0*&!R:2]-[C&D3&v4&H1&0*&R&z1:3],[548],[1]
243,[C&D1&v4&H3&0*&!R&z0:1]-[C&D3&v4&H0&0*&!R&z1:2]=[O&D1&v2&H0&0*&!R:3].[O&D1&v2&H0&0*&!R:4]=[C&D2&v4&H1&0*&!R&z1:5]>>[C&D3&v4&H0&0*&!R&z1:2](=[O&D1&v2&H0&0*&!R:3])-[C&D2&v4&H2&0*&!R&z0:1]-[C&D3&v4&H1&0*&!R&z1:5]-[O&D1&v2&H1&0*&!R:4],[550],[1]
244,[C&D3&v4&H0&0*&R&z0:1]1=[C&D2&v4&H1&0*&R&z1:2]-[N&D3&v3&H0&0*&R:3]-[C&D2&v4&H1&0*&R&z1:4]=[C&D2&v4&H1&0*&R&z0:5]-[C&D2&v4&H2&0*&R&z0:6]-1.[O&D1&v2&H0&0*&!R:7]=[O&D1&v2&H0&0*&!R:8].[O&D1&v2&H1&0*&!R:9]-[c&D3&v4&H0&0*&R&z1:10](:[c&D2&v4&H1&0*&R&z0:11]):[c&D2&v4&H1&0*&R&z0:12]>>[O&D0&v2&H2&0*&!R:8].[O&D1&v2&H1&0*&!R:7]-[c&D3&v4&H0&0*&R&z1:11]:[c&D3&v4&H0&0*&R&z1:10](:[c&D2&v4&H1&0*&R&z0:12])-[O&D1&v2&H1&0*&!R:9].[c&D3&v4&H0&0*&R&z0:1]1:[c&D2&v4&H1&0*&R&z0:6]:[c&D2&v4&H1&0*&R&z0:5]:[c&D2&v4&H1&0*&R&z1:4]:[n&D3&v4&H0&+&R:3]:[c&D2&v4&H1&0*&R&z1:2]:1,[551],[1]
245,[C&D2&v4&H2&0*&!R&z0:1]-[C&D3&v4&H1&0*&!R&z0:2]-[C&D3&v4&H1&0*&!R&z1:3](-[O&D1&v2&H1&0*&!R:4])~[*:5]~[O&D1&v2&H0&0*&!R:6]>>[C&D2&v4&H2&0*&!R&z0:2]-[C&D4&v4&H0&0*&!R&z1:3](-[O&D1&v2&H1&0*&!R:4])(-[C&D2&v4&H2&0*&!R&z0:1])~[*:5]~[O&D1&v2&H0&0*&!R:6],[552],[1]
246,[C&D2&v4&H2&0*&!R&z0:1]-[C&D4&v4&H0&0*&!R&z1:2](-[O&D1&v2&H1&0*&!R:3])-[C&D2&v4&H2&0*&!R&z0:4]~[*:5]~[O&D1&v2&H0&0*&!R:6]>>[O&D1&v2&H0&0*&!R:6]~[*:5]~[C&D2&v4&H2&0*&!R&z0:4]-[C&D3&v4&H1&0*&!R&z0:1]-[C&D3&v4&H1&0*&!R&z1:2]-[O&D1&v2&H1&0*&!R:3],[552],[1]
247,[C&D3&v4&H1&0*&R&z1:1](-[O&D1&v2&H1&0*&!R:2])-[C&D2&v4&H2&0*&R&z0:3]-[C&D4&v4&H0&0*&R&z2:4](-[O&D1&v2&H1&0*&!R:5])-[O&D2&v2&H0&0*&R:6]>>[C&D1&v4&H3&0*&!R&z0:3]-[C&D3&v4&H0&0*&!R&z1:4]=[O&D1&v2&H0&0*&!R:5].([C&D2&v4&H1&0*&!R&z1:1]=[O&D1&v2&H0&0*&!R:2].[O&D1&v2&H1&0*&!R:6]),[553],[1]
248,[C&D1&v4&H3&0*&!R&z0:1]-[C&D3&v4&H0&0*&!R&z1:2]=[O&D1&v2&H0&0*&!R:3].([*:4](~[O&D1&v2&H1&0*&!R:5])~[*:6]~[*:7]~[O&D1&v2&H1&0*&!R:8].[C&D2&v4&H1&0*&!R&z1:9]=[O&D1&v2&H0&0*&!R:10])>>[C&D3&v4&H1&0*&R&z1:9](-[O&D1&v2&H1&0*&!R:10])-[C&D2&v4&H2&0*&R&z0:1]-[C&D4&v4&H0&0*&R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[O&D2&v2&H0&0*&R:5]~[*:4]~[*:6]~[*:7]~[O&D1&v2&H1&0*&!R:8],[553],[1]
249,[C&D2&v4&H2&0*&!R&z1:1]-[O&D2&v2&H0&0*&!R:2]~[*:3](~[O&D1&v2&H1&0*&!R:4])~[*:5]~[*:6]~[*:7]~[*:8]~[*:9]~[*:10]~[C&D3&v4&H1&0*&!R&z1:11]-[O&D1&v2&H1&0*&!R:12]>>[C&D2&v4&H2&0*&!R&z1:1]-[O&D2&v2&H0&0*&!R:4]~[*:3](~[O&D1&v2&H1&0*&!R:2])~[*:5]~[*:6]~[*:7]~[*:8]~[*:9]~[*:10]~[C&D3&v4&H1&0*&!R&z1:11]-[O&D1&v2&H1&0*&!R:12],"[557, 557]","[1, 1]"
250,[*:1](~[O&D1&v2&H1&0*&!R:2])~[*:3]~[*:4](~[O&D1&v2&H1&0*&!R:5])~[O&D2&v2&H0&0*&!R:6]-[C&D3&v4&H1&0*&R&z2:7].[O&D1&v2&H1&0*&!R:8]>>[*:1](~[O&D1&v2&H1&0*&!R:2])~[*:3]~[*:4](~[O&D1&v2&H1&0*&!R:6])~[O&D1&v2&H1&0*&!R:5].[O&D2&v2&H0&0*&!R:8]-[C&D3&v4&H1&0*&R&z2:7],"[568, 568]","[2, 1]"
251,[*:1](~[O&D1&v2&H1&0*&!R:2])~[*:3]~[*:4]~[O&D1&v2&H1&0*&!R:5].[O&D2&v2&H0&0*&!R:6]-[C&D3&v4&H1&0*&R&z2:7]>>[*:1](~[O&D1&v2&H1&0*&!R:2])~[*:3]~[*:4]~[O&D2&v2&H0&0*&!R:5]-[C&D3&v4&H1&0*&R&z2:7].[O&D1&v2&H1&0*&!R:6],"[568, 568]","[2, 1]"
252,[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2]-[C&D2&v4&H2&0*&!R&z0:3]-[C&D3&v4&H1&0*&!R&z1:4]-[O&D1&v2&H1&0*&!R:5]>>[O&D0&v2&H2&0*&!R:5].[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2]-[C&D2&v4&H1&0*&!R&z0:3]=[C&D2&v4&H1&0*&!R&z0:4],[569],[1]
253,[*:1](~[*:2]~[O&D1&v2&H1&0*&!R:3])~[*:4]~[O&D1&v2&H1&0*&!R:5].[*:6](~[O&D1&v2&H1&0*&!R:7])~[*:8]~[*:9](~[O&D1&v2&H1&0*&!R:10])~[O&D2&v2&H0&0*&!R:11]-[C&D3&v4&H1&0*&R&z2:12]>>[*:1](~[*:2]~[O&D1&v2&H1&0*&!R:3])~[*:4]~[O&D2&v2&H0&0*&!R:5]-[C&D3&v4&H1&0*&R&z2:12].[*:6](~[O&D1&v2&H1&0*&!R:7])~[*:8]~[*:9](~[O&D1&v2&H1&0*&!R:11])~[O&D1&v2&H1&0*&!R:10],[570],[1]
254,[C&D3&v4&H0&0*&!R&z1:1]=[O&D1&v2&H0&0*&!R:2].[C&D3&v4&H0&0*&R&z0:3]1=[C&D2&v4&H1&0*&R&z1:4]-[N&D3&v3&H0&0*&R:5]-[C&D2&v4&H1&0*&R&z1:6]=[C&D2&v4&H1&0*&R&z0:7]-[C&D2&v4&H2&0*&R&z0:8]-1>>[C&D3&v4&H1&0*&!R&z1:1]-[O&D1&v2&H1&0*&!R:2].[c&D3&v4&H0&0*&R&z0:3]1:[c&D2&v4&H1&0*&R&z0:8]:[c&D2&v4&H1&0*&R&z0:7]:[c&D2&v4&H1&0*&R&z1:6]:[n&D3&v4&H0&+&R:5]:[c&D2&v4&H1&0*&R&z1:4]:1,"[571, 721, 765]","[1, 1, 1]"
255,[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[C&D2&v4&H2&0*&!R&z0:3]-[C&D3&v4&H0&0*&!R&z2:4]-[O&D1&v2&H1&0*&!R:5].[S&D2&v2&H0&0*&!R:6]-[C&D3&v4&H0&0*&!R&z2:7]>>[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[C&D2&v4&H2&0*&!R&z0:3]-[C&D3&v4&H0&0*&!R&z1:7].[O&D1&v2&H0&0*&!R:5]=[C&D2&v4&H0&0*&!R&z2:4].[S&D1&v2&H1&0*&!R:6],[574],[1]
256,[O&D0&v2&H2&0*&!R:1].[P&D4&v5&H0&0*&!R:2](-[O&D1&v2&H1&0*&!R:3])(-[O&D1&v2&H1&0*&!R:4])-[O&D2&v2&H0&0*&!R:5]-[C&D3&v4&H1&0*&R&z1:6]~[*:7]~[*:8]~[*:9]~[O&D1&v2&H1&0*&!R:10]>>[O&D1&v2&H1&0*&!R:1]-[C&D3&v4&H1&0*&R&z1:6]~[*:7]~[*:8]~[*:9]~[O&D1&v2&H1&0*&!R:10].[P&D4&v5&H0&0*&!R:2](-[O&D1&v2&H1&0*&!R:5])(-[O&D1&v2&H1&0*&!R:3])-[O&D1&v2&H1&0*&!R:4],[577],[1]
257,[C&D1&v4&H2&0*&!R&z0:1]=[C&D2&v4&H1&0*&!R&z0:2]-[C&D3&v4&H0&0*&R&z0:3]1~[*:4]~[*:5](:[*:6]:[*:7]:[n&D2&v3&H1&0*&R:8]):[n&D2&v3&H0&0*&R:9]:[*:10]~1:[*:11]:[*:12]:[n&D2&v3&H1&0*&R:13]:[*:14]:[*:15]:[*:16]:[n&D2&v3&H0&0*&R:17]>>[C&D1&v4&H2&0*&!R&z0:2]=[C&D2&v4&H1&0*&!R&z0:1]-[C&D3&v4&H0&0*&R&z0:3]1~[*:4]~[*:5](:[*:6]:[*:7]:[n&D2&v3&H1&0*&R:8]):[n&D2&v3&H0&0*&R:9]:[*:10]~1:[*:11]:[*:12]:[n&D2&v3&H1&0*&R:13]:[*:14]:[*:15]:[*:16]:[n&D2&v3&H0&0*&R:17],"[578, 578]","[1, 1]"
258,[O&D0&v2&H2&0*&!R:1].[O&D2&v2&H0&0*&R:2]-[C&D3&v4&H1&0*&R&z2:3]-[O&D2&v2&H0&0*&!R:4]>>[O&D1&v2&H1&0*&!R:4].[O&D2&v2&H0&0*&R:2]-[C&D3&v4&H1&0*&R&z2:3]-[O&D1&v2&H1&0*&!R:1],"[580, 690]","[1, 1]"
259,([C&D3&v4&H1&0*&R&z2:1]-[O&D2&v2&H0&0*&!R:2].[O&D1&v2&H1&0*&!R:3])>>([C&D3&v4&H1&0*&R&z2:1]-[O&D2&v2&H0&0*&!R:3].[O&D1&v2&H1&0*&!R:2]),[582],[1]
260,[*:1](~[O&D1&v2&H1&0*&!R:2])~[*:3]~[P&D4&v5&H0&0*&!R:4](-[O&D1&v2&H1&0*&!R:5])-[O&D2&v2&H0&0*&!R:6]-[P&D4&v5&H0&0*&!R:7].[C&D2&v4&H2&0*&!R&z1:8]-[O&D1&v2&H1&0*&!R:9]>>[*:1](~[O&D1&v2&H1&0*&!R:2])~[*:3]~[P&D4&v5&H0&0*&!R:4](-[O&D1&v2&H1&0*&!R:9])-[O&D1&v2&H1&0*&!R:5].[C&D2&v4&H2&0*&!R&z1:8]-[O&D2&v2&H0&0*&!R:6]-[P&D4&v5&H0&0*&!R:7],[588],[1]
261,[O&D1&v2&H1&0*&!R:1]-[C&D2&v4&H2&0*&!R&z1:2].[P&D4&v5&H0&0*&!R:3](-[O&D1&v2&H1&0*&!R:4])-[O&D2&v2&H0&0*&!R:5]-[P&D4&v5&H0&0*&!R:6](-[O&D1&v2&H1&0*&!R:7])-[O&D1&v2&H1&0*&!R:8]>>[P&D4&v5&H0&0*&!R:6](-[O&D1&v2&H1&0*&!R:7])(-[O&D1&v2&H1&0*&!R:8])-[O&D2&v2&H0&0*&!R:5]-[C&D2&v4&H2&0*&!R&z1:2].[P&D4&v5&H0&0*&!R:3](-[O&D1&v2&H1&0*&!R:1])-[O&D1&v2&H1&0*&!R:4],[592],[1]
262,[*:1](~[O&D1&v2&H1&0*&!R:2])~[O&D2&v2&H0&0*&!R:3]-[C&D2&v4&H2&0*&!R&z1:4].[P&D4&v5&H0&0*&!R:5]-[O&D1&v2&H1&0*&!R:6]>>[O&D1&v2&H1&0*&!R:6]-[C&D2&v4&H2&0*&!R&z1:4].[P&D4&v5&H0&0*&!R:5]-[O&D2&v2&H0&0*&!R:3]~[*:1]~[O&D1&v2&H1&0*&!R:2],[592],[1]
263,[C&D3&v4&H0&0*&!R&z3:1](=[N&D1&v3&H1&0*&!R:2])-[N&D1&v3&H2&0*&!R:3].[O&D0&v2&H2&0*&!R:4]>>[C&D3&v4&H0&0*&!R&z3:1](-[N&D1&v3&H2&0*&!R:2])=[O&D1&v2&H0&0*&!R:4].[N&D0&v3&H3&0*&!R:3],[594],[1]
264,([C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[S&D2&v2&H0&0*&!R:3].[O&D1&v2&H1&0*&!R:4])>>[O&D2&v2&H0&0*&R:4]-[C&D3&v4&H0&0*&R&z2:1]=[O&D1&v2&H0&0*&!R:2].[S&D1&v2&H1&0*&!R:3],[602],[1]
265,([C&D4&v4&H0&0*&R&z2:1]-[O&D2&v2&H0&0*&!R:2].[O&D1&v2&H1&0*&!R:3])>>[C&D4&v4&H0&0*&R&z2:1]-[O&D2&v2&H0&0*&R:3].[O&D1&v2&H1&0*&!R:2],[612],[1]
266,[C&D1&v4&H3&0*&!R&z0:1]-[C&D2&v4&H1&0*&!R&z1:2]=[O&D1&v2&H0&0*&!R:3].[O&D1&v2&H0&0*&!R:4]=[C&D2&v4&H1&0*&!R&z1:5]>>[O&D1&v2&H0&0*&!R:3]=[C&D2&v4&H1&0*&!R&z1:2]-[C&D2&v4&H2&0*&!R&z0:1]-[C&D3&v4&H1&0*&!R&z1:5]-[O&D1&v2&H1&0*&!R:4],[613],[1]
267,[C&D2&v4&H2&0*&!R&z1:1]-[O&D1&v2&H1&0*&!R:2].[P&D4&v5&H0&0*&!R:3]-[O&D2&v2&H0&0*&!R:4]-[P&D4&v5&H0&0*&!R:5]>>[C&D2&v4&H2&0*&!R&z1:1]-[O&D2&v2&H0&0*&!R:4]-[P&D4&v5&H0&0*&!R:5].[P&D4&v5&H0&0*&!R:3]-[O&D1&v2&H1&0*&!R:2],"[615, 653]","[1, 1]"
268,[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[N&D2&v3&H1&0*&!R:3]~[*:4]~[C&D3&v4&H1&0*&R&z2:5]-[O&D2&v2&H0&0*&!R:6].[O&D0&v2&H2&0*&!R:7]>>[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[N&D2&v3&H1&0*&!R:3]~[*:4]~[C&D3&v4&H1&0*&R&z2:5]-[O&D1&v2&H1&0*&!R:7].[O&D1&v2&H1&0*&!R:6],[616],[1]
269,[C&D2&v4&H1&0*&!R&z1:1]=[O&D1&v2&H0&0*&!R:2].[C&D3&v4&H0&0*&R&z0:3]1=[C&D2&v4&H1&0*&R&z1:4]-[N&D3&v3&H0&0*&R:5]-[C&D2&v4&H1&0*&R&z1:6]=[C&D2&v4&H1&0*&R&z0:7]-[C&D2&v4&H2&0*&R&z0:8]-1.[N&D1&v3&H2&0*&!R:9]>>[C&D2&v4&H2&0*&!R&z1:1]-[N&D2&v3&H1&0*&!R:9].[O&D0&v2&H2&0*&!R:2].[c&D3&v4&H0&0*&R&z0:3]1:[c&D2&v4&H1&0*&R&z0:8]:[c&D2&v4&H1&0*&R&z0:7]:[c&D2&v4&H1&0*&R&z1:6]:[n&D3&v4&H0&+&R:5]:[c&D2&v4&H1&0*&R&z1:4]:1,[618],[1]
270,[C&D2&v4&H2&0*&!R&z1:1]-[N&D2&v3&H1&0*&!R:2].[O&D0&v2&H2&0*&!R:3].[c&D3&v4&H0&0*&R&z0:4]1:[c&D2&v4&H1&0*&R&z0:5]:[c&D2&v4&H1&0*&R&z0:6]:[c&D2&v4&H1&0*&R&z1:7]:[n&D3&v4&H0&+&R:8]:[c&D2&v4&H1&0*&R&z1:9]:1>>[C&D2&v4&H1&0*&!R&z1:1]=[O&D1&v2&H0&0*&!R:3].[C&D3&v4&H0&0*&R&z0:4]1=[C&D2&v4&H1&0*&R&z1:9]-[N&D3&v3&H0&0*&R:8]-[C&D2&v4&H1&0*&R&z1:7]=[C&D2&v4&H1&0*&R&z0:6]-[C&D2&v4&H2&0*&R&z0:5]-1.[N&D1&v3&H2&0*&!R:2],[618],[1]
